chrom	start	end	strand	genomic_SCD	orientation	background_index	flank_bp	spacer_bp
chr12	35192361	35192380	+	53.78	>>	0	20	70
chr2	48886252	48886271	-	53.7	>>	0	20	70
chr12	35192359	35192378	-	53.66	>>	0	20	70
chr8	102781112	102781131	-	53.5	>>	0	20	70
chr5	49961991	49962010	-	53.3	>>	0	20	70
chr9	26776356	26776375	-	53.12	>>	0	20	70
chr9	51152589	51152608	-	53.06	>>	0	20	70
chr8	58566264	58566283	+	52.88	>>	0	20	70
chr12	40837731	40837750	+	52.84	>>	0	20	70
chr6	101261721	101261740	-	52.5	>>	0	20	70
chr11	57467954	57467973	-	52.38	>>	0	20	70
chr4	70621534	70621553	-	52.28	>>	0	20	70
chr2	101905952	101905971	+	52.25	>>	0	20	70
chr13	19698902	19698921	+	51.94	>>	0	20	70
chr9	63136044	63136063	+	51.75	>>	0	20	70
chr12	92303369	92303388	+	51.62	>>	0	20	70
chr11	31949597	31949616	-	51.56	>>	0	20	70
chr9	49494116	49494135	+	51.2	>>	0	20	70
chr9	88222169	88222188	-	51.16	>>	0	20	70
chr1	55404542	55404561	+	51.12	>>	0	20	70
chr12	57825931	57825950	+	51.06	>>	0	20	70
chr3	57843966	57843985	+	50.94	>>	0	20	70
chr16	22564764	22564783	+	50.8	>>	0	20	70
chr7	132213675	132213694	-	50.6	>>	0	20	70
chr16	72215914	72215933	-	50.38	>>	0	20	70
chr18	16217031	16217050	+	50.2	>>	0	20	70
chr11	113165297	113165316	-	50.12	>>	0	20	70
chr14	34810922	34810941	+	49.88	>>	0	20	70
chr17	83271677	83271696	+	49.25	>>	0	20	70
chr12	78056172	78056191	+	49.12	>>	0	20	70
chr16	89765679	89765698	-	49.0	>>	0	20	70
chr13	112264852	112264871	-	48.94	>>	0	20	70
chr13	112264855	112264874	-	48.88	>>	0	20	70
chr2	118638274	118638293	+	48.7	>>	0	20	70
chr15	32766466	32766485	-	48.47	>>	0	20	70
chr1	21411386	21411405	+	48.44	>>	0	20	70
chr6	43686121	43686140	+	48.3	>>	0	20	70
chr13	30260113	30260132	-	48.25	>>	0	20	70
chr9	60245108	60245127	+	47.97	>>	0	20	70
chr1	103799500	103799519	+	47.94	>>	0	20	70
chr11	40149490	40149509	-	47.47	>>	0	20	70
chr11	25862970	25862989	-	47.2	>>	0	20	70
chr15	44836383	44836402	+	47.12	>>	0	20	70
chr16	64748436	64748455	-	47.0	>>	0	20	70
chr3	14679375	14679394	+	46.8	>>	0	20	70
chr6	13281045	13281064	-	46.75	>>	0	20	70
chr3	68056531	68056550	+	46.62	>>	0	20	70
chr3	9711102	9711121	+	46.56	>>	0	20	70
chr16	37109440	37109459	+	46.34	>>	0	20	70
chr3	153655299	153655318	-	46.06	>>	0	20	70
chr18	58481865	58481884	-	45.88	>>	0	20	70
chr7	125393828	125393847	-	45.75	>>	0	20	70
chr16	25349805	25349824	-	45.62	>>	0	20	70
chr4	74231656	74231675	-	45.38	>>	0	20	70
chr4	74231658	74231677	+	45.22	>>	0	20	70
chr13	89543209	89543228	-	45.2	>>	0	20	70
chr1	179477243	179477262	-	45.0	>>	0	20	70
chr4	127368529	127368548	+	44.75	>>	0	20	70
chr3	25220803	25220822	-	44.62	>>	0	20	70
chr12	41487217	41487236	-	44.56	>>	0	20	70
chr14	102510621	102510640	-	44.4	>>	0	20	70
chr4	25180062	25180081	-	44.38	>>	0	20	70
chr3	31146116	31146135	+	44.2	>>	0	20	70
chr16	58299639	58299658	+	44.12	>>	0	20	70
chr5	16309782	16309801	+	43.94	>>	0	20	70
chr7	118102436	118102455	-	43.88	>>	0	20	70
chr5	16309780	16309799	-	43.75	>>	0	20	70
chr13	51830906	51830925	+	43.62	>>	0	20	70
chr6	100882571	100882590	+	43.6	>>	0	20	70
chr1	54381456	54381475	-	43.56	>>	0	20	70
chr7	143153991	143154010	+	43.38	>>	0	20	70
chr9	122729740	122729759	-	43.3	>>	0	20	70
chr2	113494885	113494904	+	43.2	>>	0	20	70
chr12	74013946	74013965	-	43.12	>>	0	20	70
chr1	120586652	120586671	+	43.1	>>	0	20	70
chr17	42603598	42603617	-	43.06	>>	0	20	70
chr8	50293731	50293750	-	42.88	>>	0	20	70
chr1	5905000	5905019	-	42.8	>>	0	20	70
chr16	27468962	27468981	+	42.75	>>	0	20	70
chr15	70921072	70921091	-	42.62	>>	0	20	70
chr8	91797706	91797725	+	42.6	>>	0	20	70
chr3	80079950	80079969	+	42.5	>>	0	20	70
chr3	113080921	113080940	-	42.47	>>	0	20	70
chr2	17415562	17415581	-	42.34	>>	0	20	70
chr7	49121484	49121503	-	42.3	>>	0	20	70
chr8	26184368	26184387	+	42.22	>>	0	20	70
chr2	37815860	37815879	+	42.2	>>	0	20	70
chr6	6005818	6005837	+	42.06	>>	0	20	70
chr1	126993483	126993502	-	42.0	>>	0	20	70
chr6	66533461	66533480	-	41.94	>>	0	20	70
chr2	4492729	4492748	-	41.88	>>	0	20	70
